char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,intended_main,intended_non,intended_cap
astos,BRV Attack++,0,0,0,['Magic'],,,
astos,BRV Attack+,0,0,0,['Magic'],,,
astos,HP Attack++,1,0,0,['Magic'],,,
astos,Cremation,1,1,10,"['Group', 'Magic', 'Instant']",,,
astos,HP Attack+,1,0,0,['Magic'],,,
astos,Dark Thrust,10,0,20,['Magic'],,,
astos,Dark Slash,5,5,20,"['Group', 'Magic']",,,
astos,Boost Up,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
astos,Dark Warhammer,9,1,10,['Magic'],,,
astos,Dark Glory,7,7,15,"['Group', 'Magic', 'NoFree']",,,
astos,Flare Star,2,2,350,"['Group', 'Magic']",,,
astos,Conflict Ultima,4,4,260,"['Group', 'Magic', 'NoFree']",,,
astos,Enhanced Dark Slash (C),5,5,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",,,
astos,Enhanced Dark Glory (C),7,7,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",,,
iris,BRV Attack+,0,0,0,['Melee'],,,
iris,BRV Attack++,0,0,0,['Melee'],,,
iris,HP Attack+,1,0,0,['Melee'],,,
iris,HP Attack++,1,0,0,['Melee'],,,
iris,Potion Pass,0,0,0,"['Heals', 'Instant']",,,
iris,Moonbow,6,1,20,['Melee'],,,
iris,BRV Heal All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
iris,Moogle Throw,3,3,10,"['Group', 'Melee']",,,
iris,Revolution,8,2,15,"['Melee', 'NoFree']",,,
iris,Eclipse,2,2,350,"['Group', 'Melee']",,,
iris,Slapstick Moogle,4,4,260,"['Group', 'Melee', 'NoFree']",,,
iris,Enhanced Potion Pass (C),0,0,0,"['Heals', 'Instant', 'NoEX', 'NoFree']",,,
iris,Enhanced Revolution (C),8,2,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",,,
reks,BRV Attack+,0,0,0,['Melee'],,,
reks,BRV Attack++,0,0,0,['Melee'],,,
reks,HP Attack+,1,0,0,['Melee'],,,
reks,HP Attack++,1,0,0,['Melee'],,,
reks,Blade Combo,4,4,20,"['Group', 'Melee']",,,
reks,Shield Rush,4,1,20,['Melee'],,,
reks,HP Heal Attack All,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",,,
reks,Yellow Storm,6,1,10,"['Melee', 'Thunder']",,,
reks,Wide Ruin,4,4,15,"['Group', 'Melee', 'Thunder', 'NoFree']",,,
reks,Remove Obstacle,2,2,10,"['Group', 'Melee', 'Instant', 'FollowUp']",,,
reks,Remove Obstacle+,4,4,10,"['Group', 'Melee', 'Instant', 'FollowUp']",,,
reks,Shining Nova,2,0,600,['Melee'],,,
reks,Mutual Improvement,4,4,260,"['Group', 'Melee', 'Thunder', 'NoFree']",,,
reks,Enhanced Blade Combo (C),4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",,,
reks,Enhanced Wide Ruin (C),4,4,0,"['Group', 'Melee', 'Thunder', 'Instant', 'NoEX', 'NoFree']",,,
quina,BRV Attack+,0,0,0,['Magic'],,,
quina,BRV Attack++,0,0,0,['Magic'],,,
quina,HP Attack+,1,0,0,['Magic'],,,
quina,HP Attack++,1,0,0,['Magic'],,,
quina,Eat,4,1,20,['Magic'],,,
quina,Cook,12,1,20,"['Magic', 'Free']",,,
quina,Frog Drop,3,3,20,"['Group', 'Magic']",,,
quina,Frog Drop+,6,6,20,"['Group', 'Magic']",,,
quina,Boost All,0,0,0,"['Instant', 'NoSummon', 'NoEX']",,,
quina,Limit Glove,7,7,10,"['Group', 'Magic']",,,
quina,Mustard Bomb,3,3,15,"['Group', 'Magic', 'NoFree']",,,
quina,Heat,5,0,10,"['Magic', 'IgnoreDEF', 'Instant', 'Traps', 'NoFree']",,,
quina,Ultimate Cook,2,2,400,"['Group', 'Magic']",,,
quina,Way of Gourmand,4,4,260,"['Group', 'Magic', 'NoFree']",,,
