char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
astos,BRV Attack++,20190,0,0,0,['Magic'],GL
astos,BRV Attack+,20181,0,0,0,['Magic'],GL
astos,HP Attack++,20191,1,0,0,['Magic'],GL
astos,Cremation,20189,1,1,10,"['Group', 'Magic', 'Instant']",GL
astos,HP Attack+,20182,1,0,0,['Magic'],GL
astos,Dark Thrust,20176,10,0,20,['Magic'],GL
astos,Dark Slash,20180,5,5,20,"['Group', 'Magic']",GL
astos,Boost Up,20207,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
astos,Dark Warhammer,20187,9,1,10,['Magic'],GL
astos,Dark Glory,20194,7,7,15,"['Group', 'Magic', 'NoFree']",GL
astos,Flare Star,20197,2,2,350,"['Group', 'Magic']",GL
astos,Conflict Ultima,20202,4,4,250,"['Group', 'Magic', 'NoFree']",GL
astos,Enhanced Dark Slash (C),20209,5,5,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL
astos,Enhanced Dark Glory (C),20211,7,7,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL
