char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
balthier,BRV Attack+,4096,0,0,0,['Ranged'],GL
balthier,BRV Attack++,13319,0,0,0,['Ranged'],GL
balthier,HP Attack+,3465,1,0,0,['Ranged'],GL
balthier,HP Attack++,13320,1,0,0,['Ranged'],GL
balthier,Snatch Shot,18232,2,2,20,"['Group', 'Ranged']",GL
balthier,Snatch Shot+,19610,4,4,20,"['Group', 'Ranged']",GL
balthier,Great Aim,18236,3,1,20,['Ranged'],GL
balthier,Great Aim+,19613,4,1,20,['Ranged'],GL
balthier,Great Aim+ Follow Up,19614,4,1,20,"['Ranged', 'FollowUp']",GL
balthier,Steal BRV Attack Up,16613,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
balthier,Fires of War,19615,5,5,10,"['Group', 'Ranged']",GL
balthier,Tides of Fate,16614,3,3,15,"['Group', 'Ranged', 'NoFree']",GL
balthier,Tides of Fate,18239,6,6,15,"['Group', 'Ranged', 'NoFree']",GL
balthier,Element of Treachery,19620,2,0,600,['Ranged'],GL
balthier,Gorgon Shot,19618,4,4,0,"['Group', 'Ranged', 'FollowUp']",GL
balthier,Wake Damage,19616,5,5,250,"['Group', 'Ranged', 'Instant', 'NoFree']",GL
balthier,Enhanced Great Aim+ (C),13287,1,0,0,"['Ranged', 'Instant', 'NoEX', 'NoFree']",GL
balthier,Enhanced Tides of Fate (C),14783,2,2,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL
