char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list
braska,BRV Attack+,0,0,0,['Magic']
braska,BRV Attack++,0,0,0,['Magic']
braska,HP Attack+,1,0,0,['Magic']
braska,HP Attack++,1,0,0,['Magic']
braska,Curaga,0,0,0,"['Heals', 'Instant']"
braska,Ultima,4,4,20,"['Group', 'Magic']"
braska,Attack All,0,0,0,"['Instant', 'NoSummon', 'NoEX']"
braska,Ultimate Jecht Shot,5,5,5,"['Group', 'Magic', 'Fire']"
braska,Ultimate Jecht Shot+,8,8,5,"['Group', 'Magic', 'Fire']"
braska,Jecht Bomber,4,4,10,"['Magic', 'Fire', 'NoFree']"
braska,Jecht Bomber+,6,6,10,"['Magic', 'Fire', 'NoFree']"
braska,Final Jecht Shot,2,2,350,"['Group', 'Magic']"
braska,Jecht Beam,3,3,0,"['Group', 'Magic', 'Fire', 'FollowUp']"
braska,Mixture Power,4,4,260,"['Group', 'Magic', 'Fire', 'Heals', 'NoFree']"
braska,Enhanced Curaga (C),0,0,0,"['Heals', 'Instant', 'NoEX', 'NoFree']"
braska,Enhanced Jecht Bomber (C),4,4,0,"['Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']"
