char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list
cecil,BRV Attack+,0,0,0,['Melee']
cecil,BRV Attack++,0,0,0,"['Melee', 'Heals']"
cecil,BRV Attack++ (Heal),0,0,0,"['Melee', 'Dark', 'Heals']"
cecil,BRV Attack++ (Power),0,0,0,"['Melee', 'Dark']"
cecil,HP Attack+,1,0,0,['Melee']
cecil,HP Attack++,1,0,0,"['Melee', 'Heals']"
cecil,HP Attack++ (Heal),1,0,0,"['Melee', 'Dark', 'Heals']"
cecil,HP Attack++ (Power),1,1,0,"['Melee', 'Dark']"
cecil,Darkness,2,0,20,"['Group', 'Ranged', 'Dark']"
cecil,Darkness+,6,0,20,"['Group', 'Ranged', 'Dark']"
cecil,Valiant Blow,1,0,20,"['Melee', 'Dark', 'KnockBack']"
cecil,Valiant Blow+,4,1,20,"['Melee', 'Dark', 'KnockBack']"
cecil,Danger Crush,1,0,0,"['Melee', 'Dark', 'Instant', 'NoSummon', 'NoEX']"
cecil,Dark Cannon,5,5,10,"['Ranged', 'Dark']"
cecil,Soul Eater,6,1,15,"['Ranged', 'Dark', 'Instant', 'NoFree']"
cecil,Start of a Distant Journey,2,2,350,"['Group', 'Melee', 'Dark']"
cecil,Dark Blast,4,4,250,"['Group', 'Melee', 'Dark', 'NoFree']"
cecil,Enhanced Valiant Blow (C),1,0,0,"['Melee', 'Dark', 'Instant', 'KnockBack', 'NoEX', 'NoFree']"
cecil,Enhanced Soul Eater (C),4,1,0,"['Ranged', 'Dark', 'Instant', 'NoEX', 'NoFree']"
