char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
cecilpaladin,Light Slash,17119,1,0,20,"['Melee', 'Holy']",GL
cecilpaladin,Luminous Blast,17121,2,1,20,"['Ranged', 'Holy']",GL
cecilpaladin,Saint's Fall,17115,3,1,20,"['Melee', 'Holy']",GL
cecilpaladin,Holy Flame,17117,4,4,20,"['Group', 'Ranged', 'Holy', 'Heals']",GL
cecilpaladin,Light Enchant All,17071,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
cecilpaladin,Paladin Force,17122,5,5,10,"['Melee', 'Holy']",GL
cecilpaladin,Luminous Shard,17123,5,5,15,"['Group', 'Ranged', 'Holy', 'Heals', 'NoFree']",GL
cecilpaladin,Soul Shift,17125,2,2,350,"['Group', 'Ranged', 'Holy']",GL
cecilpaladin,Enhanced Holy Flame (C),11254,1,1,0,"['Group', 'Ranged', 'Holy', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
cecilpaladin,Enhanced Luminous Shard (C),11256,2,2,0,"['Group', 'Ranged', 'Holy', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
