char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
cor,BRV Attack+,14853,0,0,0,"['Group', 'Melee']",GL
cor,BRV Attack++,14861,0,0,0,"['Group', 'Melee']",GL
cor,HP Attack+,14854,1,0,0,['Melee'],GL
cor,HP Attack++,14862,1,0,0,['Melee'],GL
cor,Reaper's Gale,19791,5,5,10,"['Group', 'Melee', 'Instant']",GL
cor,Moonlit Dawn,17904,0,0,20,['Instant'],GL
cor,Moonlit Dawn Follow Up,17908,2,1,20,"['Melee', 'Instant', 'FollowUp']",GL
cor,Snowbreak,17906,0,0,20,['Instant'],GL
cor,Snowbreak Follow Up,17910,2,2,20,"['Group', 'Melee', 'Instant', 'FollowUp']",GL
cor,Attack Boost All,17932,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
cor,Lion's Roar,19789,5,5,10,"['Group', 'Melee']",GL
cor,Reflorescere,19790,6,3,15,"['Group', 'Melee', 'Instant', 'NoFree']",GL
cor,Additional attack from buff,17913,2,2,0,"['Group', 'Melee', 'Instant', 'FollowUp']",GL
cor,Koujishi Dance,19795,2,2,400,"['Group', 'Melee']",GL
cor,Welcome Coincidence,19792,4,4,250,"['Group', 'Melee', 'NoFree']",GL
cor,Enhanced Moonlit Dawn (C),14870,2,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
cor,Enhanced Reflorescere (C),14872,2,1,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL
