char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list
ealdnarche,BRV Attack+,0,0,0,['Ranged']
ealdnarche,BRV Attack++,0,0,0,['Ranged']
ealdnarche,HP Attack+,1,0,0,['Ranged']
ealdnarche,HP Attack++,1,0,0,['Ranged']
ealdnarche,Phase Shift,3,3,20,"['Group', 'Ranged', 'Heals', 'Instant', 'Free']"
ealdnarche,Stellar Burst,3,3,20,"['Group', 'Ranged']"
ealdnarche,Cancel Exoplates,0,0,0,"['Heals', 'Instant', 'Counters']"
ealdnarche,Uranos Cascade,3,3,20,['Ranged']
ealdnarche,Omega Javelin,3,3,20,['Ranged']
ealdnarche,Debuff Act Longer Throw,1,1,0,"['Group', 'Ranged', 'Instant', 'NoSummon', 'NoEX']"
ealdnarche,Vortex,4,4,10,"['Group', 'Ranged']"
ealdnarche,Vortex+,4,4,10,"['Group', 'Ranged']"
ealdnarche,Exceed Lance+,5,5,15,"['Group', 'Ranged', 'NoFree']"
ealdnarche,Exceed Lance,4,4,15,"['Group', 'Ranged', 'NoFree']"
ealdnarche,Divine Might,2,2,400,"['Group', 'Ranged']"
ealdnarche,Enhanced Omega Javelin (C),0,0,0,"['Instant', 'NoEX', 'NoFree']"
ealdnarche,Enhanced Omega Javelin (C) Follow Up,1,1,0,"['Ranged', 'Instant', 'FollowUp', 'NoEX', 'NoFree']"
ealdnarche,Enhanced Exceed Lance+ (C),0,0,0,"['Instant', 'NoEX', 'NoFree']"
