char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
edward,BRV Attack++,9697,0,0,0,['Magic'],GL
edward,BRV Attack+,9696,0,0,0,['Magic'],GL
edward,HP Attack++,9701,1,0,0,['Magic'],GL
edward,HP Attack+,9698,1,0,0,['Magic'],GL
edward,HP Attack (Hide),18203,3,1,20,['Magic'],GL
edward,Bardsong,18198,3,3,20,"['Group', 'Magic']",GL
edward,Hide,18200,0,0,0,['Instant'],GL
edward,Return,18202,3,3,20,"['Magic', 'Free']",GL
edward,BRV Heal All Buff Longer,18209,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
edward,Mystic Waltz,18205,4,4,10,"['Group', 'Magic']",GL
edward,Lullaby,18207,5,5,15,"['Group', 'Magic', 'NoFree']",GL
edward,Woke from sleep.,9717,0,0,0,['FollowUp'],GL
edward,Enhanced Bardsong (C),12647,1,1,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL
edward,Enhanced Lullaby (C),12649,1,1,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL
