char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
eight,BRV Attack+,5940,0,0,0,['Melee'],GL
eight,BRV Attack++,10051,0,0,0,['Melee'],GL
eight,Lightspeed Jab++,18028,4,0,0,"['Melee', 'Instant']",GL
eight,HP Attack++,10079,1,0,0,['Melee'],GL
eight,Lightspeed Jab,10071,1,0,0,['Melee'],GL
eight,HP Attack+,6595,1,0,0,['Melee'],GL
eight,Quickbolt Stance,18025,3,0,20,['Melee'],GL
eight,Last-Stand Rush,18027,2,1,20,['Melee'],GL
eight,BRV Up Buff Longer,18023,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
eight,Phantom Rush,18030,6,0,10,['Melee'],GL
eight,Breaksight Blow,18031,2,0,10,"['Melee', 'IgnoreDEF', 'Instant', 'Counters']",GL
eight,Explosive Fist,18018,5,5,15,"['Group', 'Melee', 'NoFree']",GL
eight,Counter Rush,18029,1,1,10,"['Melee', 'IgnoreDEF', 'Counters']",GL
eight,Enhanced Last-Stand Rush (C),14966,1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
eight,Enhanced Explosive Fist (C),14968,2,2,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL
