char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
freya,Jump,7977,0,0,0,['Ranged'],GL
freya,Descending Dragon,16677,0,0,10,[],GL
freya,Descending Dragon (Return Attack),16678,3,3,10,"['Group', 'Ranged', 'Instant', 'FollowUp']",GL
freya,High Jump,7981,1,0,0,['Ranged'],GL
freya,Reis's Wind,16400,0,0,20,[],GL
freya,Reis's Wind Follow Up,16430,3,0,20,"['Ranged', 'Heals', 'FollowUp']",GL
freya,Dragon Breath,16402,4,1,20,"['Group', 'Ranged']",GL
freya,HP Heal Advance All,16404,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",GL
freya,Cherry Blossom,16403,4,4,10,"['Group', 'Ranged']",GL
freya,Six Dragons,16407,3,3,15,"['Group', 'Ranged', 'Heals', 'Instant', 'NoFree']",GL
freya,Spear,16679,1,1,10,"['Group', 'Ranged', 'Heals', 'FollowUp']",GL
freya,Enhanced Reis's Wind (C),10879,0,0,0,"['Instant', 'NoEX', 'NoFree']",GL
freya,Enhanced Reis's Wind (C) Follow Up,11145,1,0,0,"['Ranged', 'FollowUp', 'NoEX']",GL
freya,Enhanced Six Dragons (C),16409,3,3,0,"['Group', 'Ranged', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
