char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
fusoya,BRV Attack+,18979,0,0,0,['Magic'],JP
fusoya,BRV Attack++,18993,0,0,0,['Magic'],JP
fusoya,HP Attack+,18980,1,0,0,['Magic'],JP
fusoya,HP Attack++,18994,1,0,0,['Magic'],JP
fusoya,Spirit Blast,20674,5,5,20,"['Group', 'Magic']",JP
fusoya,Hold,20676,6,2,20,['Magic'],JP
fusoya,Base Boost Up,19003,0,0,0,"['Instant', 'NoSummon', 'NoEX']",JP
fusoya,Twin Meteor,20677,9,9,10,"['Group', 'Magic']",JP
fusoya,Lunar Quake,20678,7,7,15,"['Group', 'Magic', 'NoFree']",JP
fusoya,Darkness Purging Black Magic,20682,2,2,350,"['Group', 'Magic']",JP
fusoya,Omniblast,20679,4,4,250,"['Group', 'Magic', 'NoFree']",JP
fusoya,Enhanced Spirit Blast (C),18996,4,4,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",JP
fusoya,Enhanced Lunar Quake (C),18998,4,4,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",JP
