char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
garnet,Deluge,8560,0,0,0,"['Group', 'Magic', 'Water']",GL
garnet,Superbolt,8564,1,0,0,"['Group', 'Magic', 'Thunder']",GL
garnet,Deluge+,14479,0,0,0,"['Group', 'Magic', 'Water']",GL
garnet,Superbolt+,14481,1,0,0,"['Group', 'Magic', 'Thunder']",GL
garnet,Dragon Wave,8561,1,0,0,"['Magic', 'Water']",GL
garnet,Hammer of Judgment,8565,1,1,0,"['Magic', 'Thunder']",GL
garnet,Dragon Wave+,14480,1,0,0,"['Magic', 'Water']",GL
garnet,Hammer of Judgment+,14482,2,1,0,"['Magic', 'Thunder']",GL
garnet,Aquamarine Waterglint,19229,4,4,20,"['Group', 'Magic', 'Water']",GL
garnet,Peridot Thunderflash,19231,4,4,20,"['Group', 'Magic', 'Thunder']",GL
garnet,BRV Regen Boost All,16959,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
garnet,Holy Prayer,16956,0,0,0,"['Heals', 'Instant']",GL
garnet,Eternal Darkness,19232,4,4,15,"['Group', 'Magic', 'Heals', 'NoFree']",GL
garnet,Eidolon Eternal Darkness,16958,3,3,10,"['Group', 'Magic', 'Instant', 'FollowUp', 'NoFree']",GL
garnet,Divine Judgment,17357,2,2,400,"['Group', 'Magic']",GL
garnet,Immaculate Judgment,17069,4,4,50,"['Group', 'Magic', 'Traps']",GL
garnet,G-Force 199 & Hellfire,19237,4,4,250,"['Group', 'Magic', 'Thunder', 'Water', 'NoFree']",GL
garnet,Enhanced Aquamarine Waterglint (C),14397,1,1,0,"['Group', 'Magic', 'Water', 'Instant', 'NoEX', 'NoFree']",GL
garnet,Enhanced Eternal Darkness (C),14399,2,2,0,"['Group', 'Magic', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
