char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
jessie,BRV Attack+,19141,0,0,0,['Ranged'],JP
jessie,BRV Attack++,19157,0,0,0,['Ranged'],JP
jessie,HP Attack+,19142,1,0,0,['Ranged'],JP
jessie,HP Attack++,19158,1,0,0,['Ranged'],JP
jessie,Shaped Charge,20978,3,3,900,"['Uncapped', 'Group', 'Ranged']",JP
jessie,Spinning Back Kick,20968,8,1,20,['Ranged'],JP
jessie,Uprising,20970,6,6,20,"['Group', 'Ranged']",JP
jessie,Attack All,19170,0,0,0,"['Instant', 'NoSummon', 'NoEX']",JP
jessie,The Show Must Go On,20971,7,7,10,"['Group', 'Ranged', 'Instant']",JP
jessie,The Show Must Go On+,20972,7,7,10,"['Group', 'Ranged', 'Instant']",JP
jessie,Surefire Drop,20973,7,7,15,"['Group', 'Ranged', 'NoFree']",JP
jessie,Curtain Call,20977,2,2,400,"['Group', 'Ranged']",JP
jessie,"My Life, My Road",20974,4,4,250,"['Group', 'Ranged', 'NoFree']",JP
jessie,Enhanced Uprising (C),19172,4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",JP
jessie,Enhanced Surefire Drop (C),19174,4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",JP
