char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
kelger,BRV Attack+,20634,0,0,0,['Melee'],JP
kelger,BRV Attack++,20647,0,0,0,['Melee'],JP
kelger,HP Attack+,20635,1,0,0,['Melee'],JP
kelger,HP Attack++,20648,1,0,0,['Melee'],JP
kelger,Impact Cut,20628,8,0,20,['Melee'],JP
kelger,First Strike,20646,4,0,10,"['Melee', 'Instant', 'FollowUp']",JP
kelger,Tri-Element,20633,4,4,20,"['Group', 'Melee']",JP
kelger,Protect All,20661,0,0,0,"['Instant', 'NoSummon', 'NoEX']",JP
kelger,Wolves' Gale,20640,6,6,10,"['Group', 'Melee']",JP
kelger,Requiem Slash,20643,5,5,15,"['Group', 'Melee', 'NoFree']",JP
kelger,Shadow Wolf,20645,3,3,10,"['Melee', 'Instant', 'Counters']",JP
kelger,Lupine Attack,20651,2,2,400,"['Group', 'Melee']",JP
kelger,Swallow Smash,20656,4,4,250,"['Group', 'Melee', 'NoFree']",JP
kelger,Enchanced Tri-Element (C),20663,4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",JP
kelger,Enchanced Requiem Slash (C),20665,5,5,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",JP
