char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
king,BRV Attack+,17111,0,0,0,['Ranged'],GL
king,Double Bullet,16583,3,1,10,['Ranged'],GL
king,Double Bullet Follow Up,17159,3,1,10,"['Ranged', 'FollowUp']",GL
king,Rapid Bullets,16861,3,1,20,['Ranged'],GL
king,Rapid Bullets+,16862,3,1,20,['Ranged'],GL
king,Reload,16864,0,0,20,[],GL
king,Reload Follow Up,16866,3,1,20,"['Ranged', 'Instant', 'FollowUp']",GL
king,BRV Up Attack Up,16868,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
king,Endless Waltz,16867,4,1,10,['Ranged'],GL
king,Endless Waltz Follow Up,16975,3,1,10,"['Ranged', 'FollowUp']",GL
king,Magazine Blast,16871,4,4,15,"['Group', 'Ranged', 'NoFree']",GL
king,Enhanced Rapid Bullets+ (C),14232,1,0,0,"['Ranged', 'Instant', 'NoEX', 'NoFree']",GL
king,Enhanced Magazine Blast (C),16873,4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL
