char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
layle,BRV Attack+,2709,0,0,0,['Magic'],GL
layle,BRV Attack++,6982,0,0,0,['Magic'],GL
layle,HP Attack+,4016,1,0,0,['Magic'],GL
layle,HP Attack++,6983,1,0,0,['Magic'],GL
layle,HP Attack (Geo Impact),17459,3,0,10,"['Magic', 'KnockBack']",GL
layle,Field Burst,17378,3,1,20,"['Group', 'Magic', 'KnockBack']",GL
layle,Energy Gain,17380,4,0,20,['Magic'],GL
layle,BRV Heal All,17386,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
layle,Gae Bolg,17381,5,1,10,"['Group', 'Magic', 'KnockBack']",GL
layle,Geo Impact,12883,0,0,15,"['Instant', 'NoFree']",GL
layle,Geo Impact Follow Up,17383,4,4,15,"['Group', 'Magic', 'KnockBack', 'FollowUp', 'NoFree']",GL
layle,The Big Finale,17385,2,2,400,"['Group', 'Magic']",GL
layle,Enhanced Energy Gain (C),12889,1,0,0,"['Magic', 'Instant', 'NoEX', 'NoFree']",GL
layle,Enhanced Geo Impact (C),12892,2,2,0,"['Group', 'Magic', 'Instant', 'KnockBack', 'NoEX', 'NoFree']",GL
