char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
leila,BRV Attack+,15658,0,0,0,['Magic'],GL
leila,BRV Attack++,15672,0,0,0,['Magic'],GL
leila,HP Attack+,15659,1,0,0,['Magic'],GL
leila,HP Attack++,15673,1,0,0,['Magic'],GL
leila,Thunder XVI,15657,3,3,20,"['Group', 'Magic', 'Thunder']",GL
leila,Provocator's Edge,15663,2,2,20,"['Group', 'Magic', 'Thunder']",GL
leila,Protect All,15679,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
leila,Lightning Turn,15668,3,1,10,"['Magic', 'Thunder']",GL
leila,Detonator,15674,4,4,15,"['Group', 'Magic', 'Thunder', 'NoFree']",GL
leila,Counterattack Order,15670,0,0,0,"['Heals', 'Instant', 'Counters']",GL
leila,Enhanced Thunder XVI (C),15681,3,3,0,"['Group', 'Magic', 'Thunder', 'Instant', 'NoEX', 'NoFree']",GL
leila,Enhanced Detonator (C),15683,4,4,0,"['Group', 'Magic', 'Thunder', 'Instant', 'NoEX', 'NoFree']",GL
