char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
lion,BRV Attack (Bully),13811,0,0,0,['Instant'],GL
lion,BRV Attack+,4926,0,0,0,['Melee'],GL
lion,BRV Attack (Bully),13814,0,0,0,[],GL
lion,HP Attack+,8443,1,0,0,['Melee'],GL
lion,Sneak Attack,17687,3,0,20,['Melee'],GL
lion,Sneak Attack (Hide),17688,3,0,20,['Melee'],GL
lion,Powder Keg,17691,2,1,20,['Ranged'],GL
lion,Powder Keg (Hide),17692,2,1,20,['Ranged'],GL
lion,Sneak Thrust,17698,1,0,0,"['Melee', 'Instant', 'NoSummon', 'NoEX']",GL
lion,Walk the Plank: Light,8440,1,0,10,"['Magic', 'Holy']",GL
lion,Walk the Plank: Light,17694,3,3,10,"['Group', 'Melee']",GL
lion,Walk the Plank: Light Follow Up,17695,2,0,10,"['Magic', 'Holy', 'Instant', 'FollowUp']",GL
lion,Pirate Pummel,17696,6,1,15,"['Melee', 'NoFree']",GL
lion,Additional attack from Bully,17697,2,1,0,"['Melee', 'Instant', 'FollowUp', 'NoFree']",GL
lion,Enhanced Sneak Attack (C),13575,1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
lion,Enhanced Pirate Pummel (C),13577,2,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
