char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list
locke,Mug,0,0,0,['Melee']
locke,Mug (Thief's Bracer),0,0,0,"['Melee', 'Instant']"
locke,HP Attack+ (Genji Glove),1,0,0,['Melee']
locke,HP Attack+ (Master's Scroll),2,0,0,['Melee']
locke,HP Attack+ (Miracle Shoes),3,0,0,"['Melee', 'Instant']"
locke,Genji Glove × Master's Scroll,2,0,10,"['Melee', 'Instant']"
locke,Sneak Slash,8,1,20,['Melee']
locke,Sneak Slash+,8,1,20,['Melee']
locke,Phoenix Ray,5,5,20,"['Group', 'Ranged', 'Heals']"
locke,Steal Item,0,0,0,"['Instant', 'NoSummon', 'NoEX']"
locke,Mirage Dive,10,3,10,['Melee']
locke,Dagger Dance,8,8,15,"['Group', 'Melee', 'NoFree']"
locke,Forever-Shining Magicite,2,2,350,"['Group', 'Melee', 'IgnoreDEF']"
locke,Heroic Mug,4,4,260,"['Group', 'Melee', 'NoFree']"
locke,Enhanced Sneak Slash (C),1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']"
locke,Enhanced Dagger Dance (C),4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']"
