char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
maria,BRV Attack+,3119,0,0,0,['Ranged'],GL
maria,BRV Attack++,9530,0,0,0,['Ranged'],GL
maria,HP Attack+,9529,1,0,0,['Ranged'],GL
maria,HP Attack++,9531,1,0,0,['Ranged'],GL
maria,Proper Shot,18653,3,1,20,"['Ranged', 'Wind']",GL
maria,Arrow Rain,18655,3,3,20,"['Group', 'Ranged', 'Heals']",GL
maria,HP Heal Attack All,16328,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",GL
maria,Explosive Bow,18656,5,5,10,['Ranged'],GL
maria,Targeted Serial Fire,18658,4,4,15,"['Group', 'Ranged', 'Heals', 'NoFree']",GL
maria,Haya Otoya,18659,2,0,10,"['Ranged', 'Heals', 'Instant', 'Traps']",GL
maria,Twin Bowplay,18663,3,3,250,"['Group', 'Ranged', 'Heals', 'NoFree']",GL
maria,Enhanced Arrow Rain (C),10885,1,1,0,"['Group', 'Ranged', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
maria,Enhanced Targeted Serial Fire (C),14478,3,3,0,"['Group', 'Ranged', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
maria,Haya (C) Otoya (C),14701,1,0,0,"['Ranged', 'Heals', 'Instant', 'Traps']",GL
