char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list
neon,BRV Attack+,0,0,0,['Magic']
neon,BRV Attack++,0,0,0,['Magic']
neon,HP Attack+,1,0,0,['Magic']
neon,HP Attack++,1,0,0,['Magic']
neon,Asura,6,0,20,"['Magic', 'Fire', 'Instant']"
neon,Inferno,4,4,20,"['Group', 'Magic', 'Fire']"
neon,Fire Enchant All,0,0,0,"['Instant', 'NoSummon', 'NoEX']"
neon,Sword of Fury,5,5,10,"['Group', 'Magic', 'Fire', 'Instant']"
neon,Fiend of Fire,6,1,15,"['Magic', 'Fire', 'NoFree']"
neon,Firebringer,2,2,400,"['Group', 'Magic', 'Fire']"
neon,Double Runic,4,4,260,"['Group', 'Magic', 'Fire', 'NoFree']"
neon,Enhanced Asura (C),6,0,0,"['Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']"
neon,Enhanced Fiend of Fire (C),6,1,0,"['Magic', 'Fire', 'Instant', 'NoEX', 'NoFree']"
