char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
noctis,BRV Attack+,4325,0,0,0,['Ranged'],GL
noctis,BRV Attack++,4326,0,0,0,['Ranged'],GL
noctis,HP Attack+,4327,1,0,0,['Ranged'],GL
noctis,HP Attack++,9333,1,0,0,['Ranged'],GL
noctis,Shooting Star+,19687,3,3,20,"['Group', 'Ranged', 'KnockBack']",GL
noctis,Shooting Star,19686,3,3,20,"['Group', 'Ranged']",GL
noctis,Additional attack from Point-Blank Warp,19697,4,0,0,"['Ranged', 'Instant', 'FollowUp']",GL
noctis,Warp-Strike+,19695,5,0,20,['Ranged'],GL
noctis,Warp-Strike,19694,5,0,20,['Ranged'],GL
noctis,Death Drop+,19693,2,0,20,['Ranged'],GL
noctis,Death Drop,19692,2,0,20,['Ranged'],GL
noctis,Set Warp Advance,15418,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
noctis,Conjure Armiger,19700,5,1,10,"['Melee', 'Ranged']",GL
noctis,Conjure Armiger+,19701,5,1,10,"['Melee', 'Ranged']",GL
noctis,Steel Pirouette,19703,4,4,15,"['Group', 'Ranged', 'NoFree']",GL
noctis,Legacy of the Lucii,15415,2,0,600,['Ranged'],GL
noctis,Additional attack from Legacy of the Lucii,19705,4,0,0,"['Ranged', 'FollowUp']",GL
noctis,Inherited Heart,19710,4,4,250,"['Group', 'Ranged', 'NoFree']",GL
noctis,Enhanced Shooting Star (C),13307,1,1,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL
noctis,Enhanced Steel Pirouette (C),13309,1,1,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL
