char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list
paine,BRV Attack+,0,0,0,['Melee']
paine,Triple Cut,0,0,0,['Melee']
paine,BRV Attack++,0,0,0,['Melee']
paine,Triple Cut+,0,0,0,['Melee']
paine,HP Attack+,1,0,0,['Melee']
paine,HP Attack++,1,0,0,['Melee']
paine,Break Attack,6,2,20,['Melee']
paine,Black Sky,5,5,20,"['Group', 'Ranged']"
paine,Debuff Attack Up Advance,0,0,0,"['Instant', 'NoSummon', 'NoEX']"
paine,Sword Dance,3,3,10,"['Group', 'Melee']"
paine,Sword Dance+,6,6,10,"['Group', 'Melee']"
paine,Wild Throttle,8,2,15,"['Group', 'Melee', 'NoFree']"
paine,Gullwing Rush,2,2,400,"['Group', 'Melee']"
paine,Dark Shroud,4,4,260,"['Group', 'Melee', 'NoFree']"
paine,Enhanced Break Attack (C),1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']"
paine,Enhanced Wild Throttle (C),3,2,0,"['Melee', 'Instant', 'NoEX', 'NoFree']"
