char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
palom,BRV Attack+,9676,0,0,0,['Magic'],GL
palom,BRV Attack++,12698,1,0,0,['Magic'],GL
palom,Dualcast,9678,1,1,20,['Magic'],GL
palom,Dualcast++,17272,3,1,10,['Magic'],GL
palom,Bluff,17257,0,0,20,[],GL
palom,Bluff+,17258,0,0,20,[],GL
palom,Bluff++,17259,0,0,20,[],GL
palom,Bluff/+/++ Follow Up,17287,4,0,20,"['Magic', 'Ice', 'FollowUp']",GL
palom,Mysidian Ice Crystal,17263,2,1,20,"['Magic', 'Ice']",GL
palom,Mysidian Ice Crystal+,17264,2,1,20,"['Magic', 'Ice']",GL
palom,Mysidian Ice Crystal++,17265,4,1,20,"['Magic', 'Ice']",GL
palom,Great Mysidian Ice Crystal,17266,4,1,20,"['Magic', 'Ice']",GL
palom,Blizzard Burst,17268,1,0,0,"['Magic', 'Ice', 'Instant', 'NoSummon', 'NoEX']",GL
palom,Stardust,17267,4,4,10,"['Group', 'Magic']",GL
palom,Twincast Double Blizzaga,17269,2,2,15,"['Group', 'Magic', 'Ice', 'NoFree']",GL
palom,Twincast Double Blizzaga+,17270,3,3,15,"['Group', 'Magic', 'Ice', 'NoFree']",GL
palom,Twincast Double Blizzaga++,17271,4,4,15,"['Group', 'Magic', 'Ice', 'NoFree']",GL
palom,Enhanced Mysidian Ice Crystal (C),12701,1,1,0,"['Magic', 'Ice', 'Instant', 'NoEX', 'NoFree']",GL
palom,Enhanced Twincast Double Blizzaga++ (C),12703,4,4,0,"['Group', 'Magic', 'Ice', 'Instant', 'NoEX', 'NoFree']",GL
