char_name,ability_name,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list
porom,BRV Attack+,0,0,0,['Magic']
porom,BRV Attack++,0,0,0,['Magic']
porom,HP Attack+,1,0,0,['Magic']
porom,HP Attack++,1,0,0,['Magic']
porom,Cry,0,0,0,[]
porom,Cry+,0,0,0,[]
porom,Mysidian Brilliance,0,0,0,['Heals']
porom,Mysidian Brilliance+,0,0,0,['Heals']
porom,HP Heal Attack All,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']"
porom,White Wave,4,4,10,"['Group', 'Magic', 'Heals']"
porom,Twincast Double Flare,4,4,15,"['Group', 'Magic', 'Heals', 'NoFree']"
porom,Additional attack from Twin Conviction,3,3,10,"['Group', 'Magic', 'Instant', 'FollowUp', 'NoFree']"
porom,Enhanced Cry (C),0,0,0,"['Instant', 'NoEX', 'NoFree']"
porom,Enhanced Twincast Double Flare (C),2,2,0,"['Group', 'Magic', 'Heals', 'Instant', 'NoEX', 'NoFree']"
