char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
prishe,BRV Attack+,8323,0,0,0,['Melee'],GL
prishe,HP Attack+,8324,1,0,0,['Melee'],GL
prishe,One-Ilm Punch,16623,4,0,20,"['Melee', 'Instant', 'Free']",GL
prishe,Howling Fist: Transfixion+,16624,4,0,20,"['Melee', 'Magic', 'Holy', 'IgnoreDEF']",GL
prishe,Howling Fist: Fusion,16634,2,0,20,"['Melee', 'Magic', 'Fire', 'Holy']",GL
prishe,Howling Fist: Fusion+,16638,4,0,20,"['Melee', 'Magic', 'Fire', 'Holy']",GL
prishe,Spinning Attack,16629,3,3,20,"['Group', 'Melee', 'Instant', 'Free']",GL
prishe,Backhand Blow: Detonation,16630,2,0,20,"['Group', 'Melee', 'Magic', 'Wind']",GL
prishe,Backhand Blow: Detonation+,16632,3,1,20,"['Group', 'Melee', 'Magic', 'Wind']",GL
prishe,Attack Boost Up,16646,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
prishe,Nullifying Dropkick,16639,6,1,10,"['Melee', 'IgnoreDEF']",GL
prishe,Auroral Uppercut,16642,12,0,7,"['Melee', 'NoFree']",GL
prishe,Dawn,16645,2,0,600,['Melee'],GL
prishe,Enhanced Spinning Attack (C),14619,1,1,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL
prishe,Enhanced Auroral Uppercut (C),16648,12,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
