char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
quina,BRV Attack+,9607,0,0,0,['Magic'],GL
quina,BRV Attack++,19555,0,0,0,['Magic'],GL
quina,HP Attack+,9608,1,0,0,['Magic'],GL
quina,HP Attack++,19556,1,0,0,['Magic'],GL
quina,Eat,9606,4,1,20,['Magic'],GL
quina,Cook,19564,12,1,20,"['Magic', 'Free']",GL
quina,Frog Drop,9615,3,3,20,"['Group', 'Magic']",GL
quina,Frog Drop+,9616,6,6,20,"['Group', 'Magic']",GL
quina,Boost All,19574,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
quina,Limit Glove,9622,7,7,10,"['Group', 'Magic']",GL
quina,Mustard Bomb,19559,3,3,15,"['Group', 'Magic', 'NoFree']",GL
quina,Heat,19560,5,0,10,"['Magic', 'IgnoreDEF', 'Instant', 'Traps', 'NoFree']",GL
quina,Ultimate Cook,19563,2,2,400,"['Group', 'Magic']",GL
quina,Way of Gourmand,19569,4,4,250,"['Group', 'Magic', 'NoFree']",GL
quina,Enchanced Eat (C),19576,4,1,0,"['Magic', 'Instant', 'NoEX', 'NoFree']",GL
quina,Enchanced Mustard Bomb (C),19578,3,3,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL
