char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
quistis,BRV Attack+,8844,0,0,0,['Melee'],GL
quistis,BRV Attack++,14128,0,0,0,['Melee'],GL
quistis,HP Attack+,8845,1,0,0,['Melee'],GL
quistis,HP Attack++,14129,1,0,0,['Melee'],GL
quistis,Laser Whip,20295,6,2,20,['Melee'],GL
quistis,Degenerator Whip,20297,8,0,20,"['Melee', 'Instant']",GL
quistis,Ability Recovery,15738,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
quistis,Homing Whip,20298,7,4,10,['Melee'],GL
quistis,Ray Whip,20299,5,5,15,"['Group', 'Melee', 'NoFree']",GL
quistis,Shockwave Pulsar,20302,2,2,350,"['Group', 'Melee']",GL
quistis,Scatter Whip,20307,4,4,250,"['Group', 'Melee', 'NoFree']",GL
quistis,Enhanced Degenerator Whip (C),14135,1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
quistis,Enhanced Ray Whip (C),14137,1,1,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL
