char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
rinoa,BRV Attack+ (Angel Wing),9499,1,0,0,['Magic'],JP
rinoa,BRV Attack+ (Angelo),9516,0,0,0,['Magic'],JP
rinoa,BRV Attack++ (Angel Wing),20853,9,0,10,['Magic'],JP
rinoa,HP Attack+ (Angel Wing),9503,1,1,0,['Magic'],JP
rinoa,HP Attack+ (Angelo),9519,1,0,0,['Magic'],JP
rinoa,HP Attack++ (Angel Wing),20854,6,6,10,['Magic'],JP
rinoa,Ultima,18167,7,7,0,"['Group', 'Magic']",JP
rinoa,Ultima (Angel Wing),20855,9,9,40,"['Group', 'Magic']",JP
rinoa,Angelo Cannon,20937,8,0,20,"['Magic', 'Heals']",JP
rinoa,Angel Wing,18343,0,0,0,['Instant'],JP
rinoa,Base Attack Up,18181,0,0,0,"['Instant', 'NoSummon', 'NoEX']",JP
rinoa,Angel Wing Meteor,20852,8,8,10,"['Group', 'Magic']",JP
rinoa,Angel Wing Meteor (Angelo),20851,8,8,10,"['Group', 'Magic']",JP
rinoa,Wishing Star,18161,6,6,15,"['Group', 'Magic', 'NoFree']",JP
rinoa,Wings of the Heart,18166,2,2,350,"['Group', 'Magic']",JP
rinoa,Double Holy,20857,5,5,250,"['Group', 'Magic', 'NoFree']",JP
rinoa,Enhanced Angelo Cannon (C),14041,1,0,0,"['Magic', 'Heals', 'Instant', 'NoEX', 'NoFree']",JP
rinoa,Enhanced Wishing Star (C),13809,2,1,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",JP
