char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
selphie,BRV Attack+,7307,0,0,0,['Melee'],GL
selphie,BRV Attack++,14615,0,0,0,['Melee'],GL
selphie,HP Attack+,4344,1,0,0,['Melee'],GL
selphie,HP Attack++,16150,2,0,0,['Melee'],GL
selphie,Drain,16240,1,1,20,"['Group', 'Magic', 'Heals']",GL
selphie,Wall,14611,0,0,0,['Instant'],GL
selphie,Ability Recovery,16151,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",GL
selphie,Aura,16149,0,0,0,"['Heals', 'Instant']",GL
selphie,Rapture,16241,3,3,15,"['Group', 'Magic', 'KnockBack', 'NoFree']",GL
selphie,Enhanced Wall (C),11604,0,0,0,"['Instant', 'NoEX', 'NoFree']",GL
selphie,Enhanced Rapture (C),14617,1,1,0,"['Group', 'Magic', 'Instant', 'KnockBack', 'NoEX', 'NoFree']",GL
