char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
shantotto,BRV Attack+++,9158,0,0,0,"['Magic', 'Wind']",GL
shantotto,BRV Attack++,9161,0,0,0,"['Magic', 'Wind']",GL
shantotto,BRV Attack+,9156,0,0,0,"['Magic', 'Wind']",GL
shantotto,Rage HP Attack,9218,1,0,0,"['Magic', 'Wind']",GL
shantotto,HP Attack+++,9159,1,0,0,"['Magic', 'Wind']",GL
shantotto,HP Attack++,9162,1,0,0,"['Magic', 'Wind']",GL
shantotto,HP Attack+,9157,1,0,0,['Magic'],GL
shantotto,Elemental Magic: Aero,4059,1,0,20,"['Magic', 'Wind']",GL
shantotto,Rage Aero,19955,5,0,20,"['Magic', 'Wind']",GL
shantotto,Rage Aero Follow Up,19956,5,0,20,"['Magic', 'Wind', 'Instant', 'FollowUp']",GL
shantotto,Dark Magic: Bio,4063,1,0,20,"['Magic', 'Dark']",GL
shantotto,Rage Bio,19959,3,1,20,"['Magic', 'Dark']",GL
shantotto,Rage Bio Follow Up,19960,3,1,20,"['Magic', 'Dark', 'FollowUp']",GL
shantotto,Weak Damage Up,18194,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
shantotto,Divine Malison,19961,3,2,10,"['Magic', 'Holy']",GL
shantotto,Rage Divine Malison,19962,3,2,10,"['Group', 'Magic', 'Holy']",GL
shantotto,Rage Divine Malison Follow Up,19963,3,2,10,"['Group', 'Magic', 'Holy', 'FollowUp']",GL
shantotto,Salvation Scythe,18190,5,5,15,"['Group', 'Magic', 'Dark', 'NoFree']",GL
shantotto,Vidohunir,15069,2,1,400,"['Group', 'Magic', 'Dark']",GL
shantotto,Magia Duo,19968,4,4,250,"['Group', 'Magic', 'Dark', 'NoFree']",GL
shantotto,Enhanced Rage Bio (C),13302,1,1,0,"['Magic', 'Dark', 'Instant', 'NoEX', 'NoFree']",GL
shantotto,Enhanced Salvation Scythe (C),13304,1,1,0,"['Group', 'Magic', 'Dark', 'Instant', 'NoEX', 'NoFree']",GL
