char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
snow,BRV Attack+,7802,0,0,0,['Melee'],GL
snow,BRV Attack++,7808,0,0,0,['Melee'],GL
snow,HP Attack+,7801,1,0,0,['Melee'],GL
snow,HP Attack++,7809,1,0,0,['Melee'],GL
snow,Steelguard,14810,0,0,20,[],GL
snow,Steelguard Follow Up,14812,1,0,20,"['Melee', 'Ice', 'FollowUp']",GL
snow,Froststrike,14814,3,0,20,"['Melee', 'Ice', 'Heals']",GL
snow,HP Regen Attack All,16471,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
snow,Sovereign Fist,16470,4,1,10,"['Group', 'Melee']",GL
snow,Ice Ramp,16472,3,3,15,"['Group', 'Melee', 'Ice', 'NoFree']",GL
snow,Retribution,16473,2,2,10,"['Group', 'Melee', 'Ice', 'Instant', 'FollowUp']",GL
snow,Retribution+,16474,4,4,10,"['Group', 'Melee', 'Ice', 'Instant', 'FollowUp']",GL
snow,We'll never give up!,16477,2,2,350,"['Group', 'Melee', 'Ice']",GL
snow,Enhanced Steelguard (C),11264,0,0,0,"['Instant', 'NoEX', 'NoFree']",GL
snow,Enhanced Steelguard (C) Follow Up,11399,1,0,0,"['Melee', 'FollowUp']",GL
snow,Enhanced Ice Ramp (C),14821,2,2,0,"['Group', 'Melee', 'Ice', 'Instant', 'NoEX', 'NoFree']",GL
