char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
vayne,Kick,14169,0,0,0,['Melee'],GL
vayne,Kick+,14170,0,0,0,"['Melee', 'Instant']",GL
vayne,Pummel,14165,1,0,0,['Melee'],GL
vayne,Pummel+,14166,1,0,0,"['Melee', 'Instant']",GL
vayne,Mach Wave,17832,3,1,20,['Melee'],GL
vayne,Mach Wave+,17833,3,1,20,"['Melee', 'Instant', 'Free']",GL
vayne,Force of Will,17836,3,0,20,['Melee'],GL
vayne,Force of Will+,17837,3,0,20,"['Melee', 'Instant', 'Free']",GL
vayne,Buff Keep Savate,17846,1,0,0,"['Melee', 'Instant', 'NoSummon', 'NoEX']",GL
vayne,Tree of Sephira,17838,4,4,10,"['Group', 'Magic']",GL
vayne,Tree of Sephira+,17839,4,4,10,"['Group', 'Magic', 'Instant']",GL
vayne,Contempt,17840,4,4,15,"['Group', 'Melee', 'Instant', 'NoFree']",GL
vayne,Contempt+,17841,4,4,15,"['Group', 'Melee', 'Instant', 'NoFree']",GL
vayne,Gigaflare Sword,14180,2,2,400,"['Group', 'Melee']",GL
vayne,Additional attack from Gigaflare Sword,14181,2,0,0,"['Group', 'Melee', 'FollowUp']",GL
vayne,Godslaughter,17845,3,3,250,"['Group', 'Melee', 'Instant', 'NoFree']",GL
vayne,Enhanced Force of Will (C),12092,2,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
vayne,Enhanced Contempt (C),14183,3,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
