char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
vincent,BRV Attack+,5070,0,0,0,['Ranged'],GL
vincent,HP Attack+,5125,1,0,0,['Ranged'],GL
vincent,HP Attack++,5126,1,0,0,"['Group', 'Ranged']",GL
vincent,Deadly Beast Flare,20501,4,0,20,"['Group', 'Ranged', 'Fire']",GL
vincent,Deadly Beast Flare+,20502,4,2,20,"['Group', 'Ranged', 'Fire']",GL
vincent,Livewire Shot,20505,4,0,20,"['Group', 'Ranged', 'Thunder']",GL
vincent,Livewire Shot+,20506,4,2,20,"['Group', 'Ranged', 'Thunder']",GL
vincent,Debuff Act Longer,16805,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
vincent,Nightmare Shot,20507,5,5,10,"['Group', 'Ranged']",GL
vincent,Satan Slam Shot,20508,5,5,15,"['Group', 'Ranged', 'NoFree']",GL
vincent,Chaos Saber Shot,20509,4,0,10,"['Ranged', 'Instant', 'FollowUp']",GL
vincent,A Finale Chaotic,16804,2,2,400,"['Group', 'Ranged']",GL
vincent,Daybreak,20514,4,4,250,"['Group', 'Ranged', 'NoFree']",GL
vincent,Enhanced Deadly Beast Flare (C),10129,1,0,0,"['Group', 'Ranged', 'Fire', 'Instant', 'NoEX', 'NoFree']",GL
vincent,Enhanced Satan Slam Shot (C),16807,4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL
