char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
warrioroflight,BRV Attack+,10025,0,0,0,['Melee'],GL
warrioroflight,BRV Attack++,10026,0,0,0,['Melee'],GL
warrioroflight,HP Attack+,10027,1,0,0,['Melee'],GL
warrioroflight,HP Attack++,10028,1,0,0,['Melee'],GL
warrioroflight,Shining Shield,19239,0,0,20,[],GL
warrioroflight,Shining Shield Follow Up,17156,4,0,20,"['Melee', 'FollowUp']",GL
warrioroflight,Shining Shield Follow Up,19241,6,0,20,"['Melee', 'FollowUp']",GL
warrioroflight,Throw Buckler,19243,4,4,20,['Ranged'],GL
warrioroflight,Resist All,17138,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
warrioroflight,Shining Wave,19244,4,4,10,"['Ranged', 'Heals']",GL
warrioroflight,Bitter End,19379,6,1,7,"['Ranged', 'NoFree']",GL
warrioroflight,Ultimate Shield,17137,2,2,400,"['Group', 'Ranged']",GL
warrioroflight,Soul of Light,19249,4,4,250,"['Group', 'Ranged', 'NoFree']",GL
warrioroflight,Enhanced Shining Shield (C),12990,0,0,0,"['Instant', 'NoEX', 'NoFree']",GL
warrioroflight,Enhanced Bitter End (C),12992,1,1,0,"['Ranged', 'Instant', 'NoEX', 'NoFree']",GL
