char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
weiss,BRV Attack+,20464,0,0,0,['Melee'],GL
weiss,BRV Attack++,20476,0,0,0,['Melee'],GL
weiss,HP Attack+,20465,1,0,0,['Melee'],GL
weiss,HP Attack++,20477,1,0,0,['Melee'],GL
weiss,Twin Bladeflash,20459,6,0,20,['Melee'],GL
weiss,Division of Heaven and Earth,20463,4,4,20,"['Group', 'Melee']",GL
weiss,Attack Up,20490,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
weiss,Bullets of Ruin,20470,5,5,10,"['Group', 'Melee']",GL
weiss,Additional attack from Bullets of Ruin,20472,3,1,0,"['Group', 'Melee', 'Instant', 'FollowUp']",GL
weiss,Transmigratory Swordplay,20475,7,1,15,"['Melee', 'NoFree']",GL
weiss,Empowered with Omega,20480,2,2,350,"['Group', 'Melee']",GL
weiss,Black White Emulsion,20485,4,4,250,"['Group', 'Melee', 'NoFree']",GL
weiss,Enchanced Division of Heaven and Earth (C),20492,4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL
weiss,Enchanced Transmigratory Swordplay (C),20494,7,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
