char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
zell,BRV Attack+,5161,0,0,0,['Melee'],GL
zell,Burning Combo,15317,1,0,10,['Melee'],GL
zell,Burning Combo Follow Up,15318,1,1,10,"['Group', 'Ranged', 'FollowUp']",GL
zell,HP Attack+,3315,1,0,0,['Melee'],GL
zell,Meteor Combo,15319,1,0,10,"['Melee', 'Thunder']",GL
zell,Meteor Combo Follow Up,15320,3,0,10,"['Melee', 'FollowUp']",GL
zell,Punch Rush,13588,1,0,20,"['Melee', 'Free']",GL
zell,Burning Rave,13589,1,1,20,"['Group', 'Ranged']",GL
zell,Booya (Triggered),13597,1,0,20,"['Melee', 'Thunder', 'FollowUp']",GL
zell,Booya,13592,1,0,20,"['Melee', 'Thunder', 'Free']",GL
zell,Meteor Barrage,13593,3,0,20,['Melee'],GL
zell,Punch Rush (Triggered),13595,1,0,20,"['Melee', 'FollowUp']",GL
zell,Set Duel Blow,15321,1,0,0,"['Melee', 'Instant', 'NoSummon', 'NoEX']",GL
zell,Different Beat,15316,4,1,10,"['Melee', 'IgnoreDEF']",GL
zell,Maximum Duel,13602,3,1,15,"['Melee', 'Instant', 'NoFree']",GL
zell,My Final Heaven,13603,3,3,15,"['Group', 'Melee', 'NoFree']",GL
zell,Enhanced Punch Rush (C),13605,1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
zell,Enhanced My Final Heaven (C),13607,3,3,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL
