char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
zidane,BRV Attack+,8335,0,0,0,['Melee'],JP
zidane,BRV Attack++,8477,0,0,0,['Melee'],JP
zidane,Mug,20893,6,0,0,"['Melee', 'Instant']",JP
zidane,HP Attack++,8341,1,0,0,['Melee'],JP
zidane,HP Attack+ (Solution 9),20894,8,0,0,['Melee'],JP
zidane,Stellar Circle 5,18462,3,0,20,"['Group', 'Melee']",JP
zidane,Stellar Circle 5+,20756,8,0,20,"['Group', 'Melee']",JP
zidane,Free Energy,18466,3,0,20,['Melee'],JP
zidane,Free Energy+,20758,7,7,20,['Melee'],JP
zidane,BRV Up Advance,16582,0,0,0,"['Instant', 'NoSummon', 'NoEX']",JP
zidane,Booster 8,16578,4,0,10,"['Melee', 'KnockBack']",JP
zidane,Solution 9,20760,7,7,15,"['Group', 'Melee', 'NoFree']",JP
zidane,Grand Lethal,13735,6,6,400,"['Group', 'Melee']",JP
zidane,Crystal Energy,20765,4,4,250,"['Group', 'Melee', 'NoFree']",JP
zidane,Enhanced Free Energy (C),13738,1,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",JP
zidane,Enhanced Solution 9 (C),13740,3,3,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",JP
