char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
cyan,BRV Attack+,6912,0,0,0,"['Melee', 'IgnoreDEF']",GL
cyan,HP Attack+,6913,1,0,0,"['Melee', 'IgnoreDEF']",GL
cyan,Concentrate: Fang,15777,0,0,0,['Free'],GL
cyan,Bushido Fang,15778,2,1,20,"['Melee', 'IgnoreDEF']",GL
cyan,Concentrate: Dragon,8182,0,0,0,['Free'],GL
cyan,Bushido Dragon,15780,3,0,20,"['Melee', 'Heals', 'IgnoreDEF']",GL
cyan,Guard Penetration Crush Advance,15786,1,0,0,"['Melee', 'IgnoreDEF', 'Instant', 'NoSummon', 'NoEX']",GL
cyan,Tsubame Gaeshi,15781,5,1,10,"['Melee', 'IgnoreDEF']",GL
cyan,Tsubame Gaeshi+,15782,5,1,10,"['Melee', 'IgnoreDEF']",GL
cyan,Bushido Tempest,15785,8,8,7,"['Melee', 'IgnoreDEF', 'NoFree']",GL
cyan,Enhanced Bushido Fang (C),13757,1,1,0,"['Melee', 'IgnoreDEF', 'Instant', 'NoEX', 'NoFree']",GL
cyan,Enhanced Bushido Tempest (C),15802,8,8,0,"['Melee', 'IgnoreDEF', 'Instant', 'NoEX', 'NoFree']",GL
