char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
ennakros,BRV Attack+,16086,0,0,0,['Magic'],GL
ennakros,BRV Attack++,16088,0,0,0,['Magic'],GL
ennakros,HP Attack+,16087,1,0,0,['Magic'],GL
ennakros,HP Attack++,16089,1,0,0,['Magic'],GL
ennakros,Kinda Sorta Holy,15988,3,3,20,"['Group', 'Magic', 'Holy']",GL
ennakros,Bold Maneuver,18622,3,3,10,"['Group', 'Melee']",GL
ennakros,Base Boost Up,16006,0,0,0,['Instant'],GL
ennakros,Atomic Impact,18623,4,4,5,"['Group', 'Melee', 'Dark']",GL
ennakros,Astral Annihilation,18624,8,0,7,"['Melee', 'NoFree']",GL
ennakros,Pretty-Close Solution,18628,3,3,250,"['Group', 'Melee', 'NoFree']",GL
ennakros,Enhanced Kinda Sorta Holy (C),16008,3,3,0,"['Group', 'Magic', 'Holy', 'Instant', 'NoEX', 'NoFree']",GL
ennakros,Enhanced Astral Annihilation (C),16010,6,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
