char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
jecht,BRV Attack+,3769,0,0,0,['Melee'],GL
jecht,BRV Attack++,14463,0,0,0,"['Group', 'Melee', 'Fire']",GL
jecht,HP Attack+,3784,1,0,0,['Melee'],GL
jecht,HP Attack++,6808,1,0,0,['Melee'],GL
jecht,Beast Rush,17235,3,0,20,"['Melee', 'Fire']",GL
jecht,Beast Rush+,17236,3,0,20,"['Melee', 'Fire']",GL
jecht,Beast Rush+ Follow Up,1876,1,0,20,"['Melee', 'FollowUp']",GL
jecht,Jecht Slash,14457,2,1,20,"['Melee', 'Fire']",GL
jecht,Jecht Slash+,14458,2,1,20,"['Melee', 'Fire']",GL
jecht,Jecht Slash+ Follow Up,14459,2,1,20,"['Melee', 'Fire', 'Instant', 'FollowUp']",GL
jecht,Jecht Slash Recovery,17238,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
jecht,Meteor Shot,17237,8,1,5,['Melee'],GL
jecht,Triumphant Grasp,17253,4,4,10,"['Group', 'Melee', 'Fire', 'NoFree']",GL
jecht,Blitz King,14467,2,2,400,"['Group', 'Melee', 'Fire']",GL
jecht,Enhanced Jecht Slash (C),14469,2,1,0,"['Melee', 'Fire', 'Instant', 'NoEX', 'NoFree']",GL
jecht,Enhanced Triumphant Grasp (C),14471,4,4,0,"['Group', 'Melee', 'Fire', 'Instant', 'NoEX', 'NoFree']",GL
