char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
kadaj,BRV Attack+,12526,0,0,0,['Melee'],GL
kadaj,BRV Attack++,12528,0,0,0,['Melee'],GL
kadaj,HP Attack+,12527,1,0,0,['Melee'],GL
kadaj,HP Attack++,12529,1,0,0,['Melee'],GL
kadaj,Volley,16570,3,3,20,"['Group', 'Melee']",GL
kadaj,Geophagy,16576,2,0,20,"['Melee', 'FollowUp']",GL
kadaj,Mayhem,16572,3,1,20,['Melee'],GL
kadaj,Set Fixation Slash,16574,1,0,0,"['Melee', 'Instant', 'NoSummon', 'NoEX']",GL
kadaj,Divinity,16573,4,4,10,"['Group', 'Melee']",GL
kadaj,Burial Hour,16575,6,0,15,"['Melee', 'NoFree']",GL
kadaj,Enhanced Mayhem (C),12523,2,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
kadaj,Enhanced Burial Hour (C),12525,3,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
