char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
kadaj,BRV Attack+,12526,0,0,0,['Melee'],JP
kadaj,BRV Attack++,12528,0,0,0,['Melee'],JP
kadaj,HP Attack+,12527,1,0,0,['Melee'],JP
kadaj,HP Attack++,12529,1,0,0,['Melee'],JP
kadaj,Volley,20860,4,4,20,"['Group', 'Melee']",JP
kadaj,Geophagy,20864,6,0,20,"['Melee', 'FollowUp']",JP
kadaj,Mayhem,20862,6,1,20,['Melee'],JP
kadaj,Set Fixation Slash,16574,1,0,0,"['Melee', 'Instant', 'NoSummon', 'NoEX']",JP
kadaj,Divinity,20863,6,6,10,"['Group', 'Melee']",JP
kadaj,Burial Hour,20866,9,0,15,"['Melee', 'NoFree']",JP
kadaj,Withering Planet,20869,2,2,400,"['Group', 'Melee']",JP
kadaj,Starcutter,20874,4,4,250,"['Group', 'Melee', 'NoFree']",JP
kadaj,Enhanced Mayhem (C),12523,2,1,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",JP
kadaj,Enhanced Burial Hour (C),12525,3,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",JP
