char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
kurasame,BRV Attack+,10033,0,0,0,"['Melee', 'Ice']",GL
kurasame,BRV Attack++,10035,0,0,0,"['Melee', 'Ice']",GL
kurasame,HP Attack+,10034,1,0,0,"['Melee', 'Ice']",GL
kurasame,HP Attack++,10036,1,0,0,"['Melee', 'Ice']",GL
kurasame,Ice Blade Renzan,18259,4,0,20,"['Melee', 'Ice']",GL
kurasame,Multi Blizzaga MIS-II,19443,3,3,20,"['Group', 'Melee', 'Ice']",GL
kurasame,BRV Up Blizzard Slash,18265,1,0,0,"['Melee', 'Ice', 'Instant', 'NoSummon', 'NoEX']",GL
kurasame,Ice Pillar,19445,4,0,10,"['Melee', 'Ice', 'FollowUp']",GL
kurasame,Absolute Zero,19446,5,5,15,"['Group', 'Melee', 'Ice', 'NoFree']",GL
kurasame,Biocessation Magic – Freeze,19454,2,2,350,"['Group', 'Melee']",GL
kurasame,Dead End,19451,4,4,250,"['Group', 'Melee', 'Ice', 'NoFree']",GL
kurasame,Enhanced Ice Blade Renzan (C),12979,1,0,0,"['Melee', 'Ice', 'Instant', 'NoEX', 'NoFree']",GL
kurasame,Enhanced Absolute Zero (C),12981,1,1,0,"['Group', 'Melee', 'Ice', 'Instant', 'NoEX', 'NoFree']",GL
