char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
laguna,BRV Attack+,4118,0,0,0,['Ranged'],GL
laguna,BRV Attack++,9804,0,0,0,['Ranged'],GL
laguna,HP Attack+,4268,1,0,0,['Ranged'],GL
laguna,HP Attack++,9805,1,0,0,"['Group', 'Ranged']",GL
laguna,Grenade,18961,3,3,20,"['Group', 'Ranged']",GL
laguna,Shotgun,18962,2,1,20,"['Group', 'Ranged']",GL
laguna,Shotgun+,18963,3,1,20,"['Group', 'Ranged']",GL
laguna,Debuff Damage Up,16119,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
laguna,Ragnarok Buster,18964,4,1,10,"['Group', 'Ranged']",GL
laguna,Ragnarok Blade,18965,4,4,15,"['Group', 'Ranged', 'NoFree']",GL
laguna,"Additional attack from Look, the faeries are here!",18966,2,2,15,"['Group', 'Ranged', 'FollowUp']",GL
laguna,Desperado,16101,2,2,400,"['Group', 'Ranged']",GL
laguna,HP damage from Desperado debuff,16105,1,1,0,"['Group', 'Ranged', 'Traps']",GL
laguna,Enhanced Grenade (C),12292,1,1,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL
laguna,Enhanced Ragnarok Blade (C),16103,4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",GL
