char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
lenna,BRV Attack+,8202,0,0,0,['Ranged'],GL
lenna,HP Attack+,7900,1,0,0,['Ranged'],GL
lenna,Dragon Breath,14499,3,3,10,"['Group', 'Ranged']",GL
lenna,Rapid Fire,14502,3,3,20,"['Group', 'Ranged']",GL
lenna,Rapid Fire+,14503,3,3,20,"['Group', 'Ranged']",GL
lenna,Wind Drake Arrow,14506,1,1,20,"['Ranged', 'Heals']",GL
lenna,Wind Drake Arrow+,14507,1,1,20,"['Ranged', 'Heals']",GL
lenna,BRV Heal Boost All,16212,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
lenna,Brave Phoenix,16211,4,4,10,"['Group', 'Ranged', 'Heals']",GL
lenna,Goliath Tonic & Dragon Breath,17567,3,3,15,"['Group', 'Ranged', 'Heals', 'NoFree']",GL
lenna,Enhanced Wind Drake Arrow (C),14529,1,1,0,"['Ranged', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
lenna,Enhanced Goliath Tonic & Dragon Breath (C),14509,3,3,0,"['Group', 'Ranged', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
