char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
leonora,BRV Attack +,21027,0,0,0,['Magic'],JP
leonora,BRV Attack ++,21038,0,0,0,['Magic'],JP
leonora,HP Attack+,21028,1,0,0,['Magic'],JP
leonora,HP Attack++,21039,1,0,0,['Magic'],JP
leonora,Under Training,21024,0,0,0,"['Heals', 'Instant']",JP
leonora,Flare,21026,1,1,900,"['Uncapped', 'Group', 'Magic', 'FollowUp']",JP
leonora,Holy,21032,5,5,20,"['Group', 'Magic', 'Heals']",JP
leonora,Attack All,21055,0,0,0,"['Instant', 'NoSummon', 'NoEX']",JP
leonora,Particle Bomb,21037,7,7,10,"['Group', 'Magic', 'Heals']",JP
leonora,A Little Black Magic,21042,3,3,900,"['Uncapped', 'Group', 'Magic', 'NoFree']",JP
leonora,Infinity,21045,2,2,400,"['Group', 'Magic', 'Heals']",JP
leonora,Mergecast,21050,4,4,250,"['Group', 'Magic', 'Heals', 'NoFree']",JP
leonora,Enchanced Holy (C),21057,5,5,0,"['Group', 'Magic', 'Heals', 'Instant', 'NoEX', 'NoFree']",JP
leonora,Enchanced A Little Black Magic (C),21059,3,3,0,"['Group', 'Magic', 'Heals', 'Instant', 'NoEX', 'NoFree']",JP
