char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
locke,Mug,4710,0,0,0,['Melee'],JP
locke,Mug (Thief's Bracer),15386,0,0,0,"['Melee', 'Instant']",JP
locke,HP Attack+ (Genji Glove),15378,1,0,0,['Melee'],JP
locke,HP Attack+ (Master's Scroll),15424,2,0,0,['Melee'],JP
locke,HP Attack+ (Miracle Shoes),18455,3,0,0,"['Melee', 'Instant']",JP
locke,Genji Glove × Master's Scroll,20707,16,0,10,"['Melee', 'Instant']",JP
locke,Sneak Slash,20702,8,1,20,['Melee'],JP
locke,Sneak Slash+,20703,8,1,20,['Melee'],JP
locke,Phoenix Ray,20705,5,5,20,"['Group', 'Ranged', 'Heals']",JP
locke,Steal Item,15388,0,0,0,"['Instant', 'NoSummon', 'NoEX']",JP
locke,Mirage Dive,20706,10,3,10,['Melee'],JP
locke,Dagger Dance,20708,8,8,15,"['Group', 'Melee', 'NoFree']",JP
locke,Forever-Shining Magicite,15391,2,2,350,"['Group', 'Melee', 'IgnoreDEF']",JP
locke,Heroic Mug,20713,4,4,250,"['Group', 'Melee', 'NoFree']",JP
locke,Enhanced Sneak Slash (C),13442,1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",JP
locke,Enhanced Dagger Dance (C),15393,4,4,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",JP
