char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
queen,BRV Attack+,13124,0,0,0,['Melee'],GL
queen,BRV Attack++,13138,0,0,0,['Melee'],GL
queen,Balestra Lunge,13134,1,0,10,"['Melee', 'Instant']",GL
queen,HP Attack+,13125,1,0,0,['Melee'],GL
queen,HP Attack++,13139,1,0,0,['Melee'],GL
queen,Devastate,14830,4,1,10,['Melee'],GL
queen,Speedrush Thrust,13119,1,0,20,['Melee'],GL
queen,Mana Sphere,13123,1,1,20,"['Group', 'Melee']",GL
queen,HP Heal Boost All,14831,0,0,0,"['Heals', 'Instant', 'NoSummon', 'NoEX']",GL
queen,Rasetsu Arousal,15151,3,1,10,"['Group', 'Melee']",GL
queen,Rasetsu Arousal Release HP Heal,13321,0,0,0,"['Heals', 'Instant', 'FollowUp']",GL
queen,Divine Judgment,15256,2,2,15,"['Group', 'Melee', 'Heals', 'NoFree']",GL
queen,Enhanced Mana Sphere (C),13145,1,1,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL
queen,Enhanced Divine Judgment (C),13147,1,1,0,"['Group', 'Melee', 'Heals', 'Instant', 'NoEX', 'NoFree']",GL
