char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
ramza,BRV Attack+,16159,0,0,0,"['Melee', 'Heals']",GL
ramza,BRV Attack++,16160,0,0,0,"['Melee', 'Heals']",GL
ramza,BRV Attack+++,16161,0,0,0,"['Melee', 'Heals']",GL
ramza,HP Attack+,16156,2,0,0,['Melee'],GL
ramza,HP Attack++,16157,3,0,0,['Melee'],GL
ramza,HP Attack+++,16158,4,0,10,['Melee'],GL
ramza,Shout,16153,0,0,20,[],GL
ramza,Shout Follow Up,16155,3,0,20,"['Melee', 'FollowUp']",GL
ramza,Galvanize,10897,0,0,0,['Heals'],GL
ramza,Attack Up,16168,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
ramza,Enervate+,16162,6,1,10,['Melee'],GL
ramza,Enervate++,16163,6,1,10,['Melee'],GL
ramza,Enervate+++,16164,6,1,10,['Melee'],GL
ramza,Icebrand – Storming Winter,16165,5,5,15,"['Group', 'Melee', 'KnockBack', 'NoFree']",GL
ramza,Ultima,16167,2,2,350,"['Group', 'Melee']",GL
ramza,Enhanced Galvanize (C),10359,0,0,0,"['Heals', 'Instant', 'NoEX', 'NoFree']",GL
ramza,Enhanced Icebrand – Storming Winter (C),10707,2,2,0,"['Group', 'Melee', 'Instant', 'KnockBack', 'NoEX', 'NoFree']",GL
