char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
shadow,Throw,7555,0,0,0,"['Ranged', 'IgnoreDEF']",GL
shadow,Throw+,14492,0,0,0,"['Ranged', 'IgnoreDEF']",GL
shadow,HP Attack+ (Throw),7556,1,0,0,"['Ranged', 'IgnoreDEF']",GL
shadow,Shadow Stealth,14485,1,1,20,['Melee'],GL
shadow,Wild Throw,14487,2,0,20,"['Ranged', 'IgnoreDEF']",GL
shadow,Set Evasion Up,16179,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
shadow,Shadow Fang,16178,3,1,10,"['Ranged', 'IgnoreDEF']",GL
shadow,Wild Fang,7551,1,0,10,"['Ranged', 'IgnoreDEF', 'FollowUp']",GL
shadow,Assassination,14660,2,0,15,"['Group', 'Melee', 'IgnoreDEF', 'Instant', 'NoFree']",GL
shadow,Wild Fang+,14491,2,0,15,"['Ranged', 'IgnoreDEF', 'Instant', 'Counters', 'FollowUp']",GL
shadow,Enhanced Shadow Stealth (C),10614,1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
shadow,Enhanced Assassination (C),14494,2,0,0,"['Group', 'Melee', 'IgnoreDEF', 'Instant', 'NoEX', 'NoFree']",GL
