char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
steiner,BRV Attack+,7470,0,0,0,['Melee'],GL
steiner,BRV Attack++,7474,0,0,0,['Melee'],GL
steiner,HP Attack+,7471,1,0,0,['Melee'],GL
steiner,HP Attack++,7258,1,0,0,['Melee'],GL
steiner,Power Break (IX),15971,3,0,20,['Melee'],GL
steiner,Spellblade,15974,2,1,20,"['Melee', 'Fire']",GL
steiner,Spellblade+,15975,3,1,20,"['Melee', 'Fire']",GL
steiner,Boost All,15977,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
steiner,Stock Break,15976,3,3,10,"['Group', 'Melee']",GL
steiner,Flare Sword,15980,4,3,15,"['Group', 'Melee', 'NoFree']",GL
steiner,Enhanced Power Break (IX) (C),15073,1,0,0,"['Melee', 'Instant', 'NoEX', 'NoFree']",GL
steiner,Enhanced Flare Sword (C),15982,4,3,0,"['Group', 'Melee', 'Instant', 'NoEX', 'NoFree']",GL
