char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
vincent,BRV Attack+,5070,0,0,0,['Ranged'],JP
vincent,HP Attack+,5125,1,0,0,['Ranged'],JP
vincent,HP Attack++,5126,1,0,0,"['Group', 'Ranged']",JP
vincent,Deadly Beast Flare,20501,4,0,20,"['Group', 'Ranged', 'Fire']",JP
vincent,Deadly Beast Flare+,20502,4,2,20,"['Group', 'Ranged', 'Fire']",JP
vincent,Livewire Shot,20505,4,0,20,"['Group', 'Ranged', 'Thunder']",JP
vincent,Livewire Shot+,20506,4,2,20,"['Group', 'Ranged', 'Thunder']",JP
vincent,Debuff Act Longer,16805,0,0,0,"['Instant', 'NoSummon', 'NoEX']",JP
vincent,Nightmare Shot,20507,5,5,10,"['Group', 'Ranged']",JP
vincent,Satan Slam Shot,20508,5,5,15,"['Group', 'Ranged', 'NoFree']",JP
vincent,Chaos Saber Shot,20509,4,0,10,"['Ranged', 'Instant', 'FollowUp']",JP
vincent,A Finale Chaotic,16804,2,2,400,"['Group', 'Ranged']",JP
vincent,Daybreak,20514,4,4,250,"['Group', 'Ranged', 'NoFree']",JP
vincent,Enhanced Deadly Beast Flare (C),10129,1,0,0,"['Group', 'Ranged', 'Fire', 'Instant', 'NoEX', 'NoFree']",JP
vincent,Enhanced Satan Slam Shot (C),16807,4,4,0,"['Group', 'Ranged', 'Instant', 'NoEX', 'NoFree']",JP
