char_name,ability_name,ability_id,main_target_hp_attacks,non_target_hp_attacks,hp_dmg_cap_up_perc,attribute_list,game_version
yuna,BRV Attack,812,0,0,0,"['Magic', 'Thunder']",GL
yuna,Sonic Wings,4185,1,0,0,['Magic'],GL
yuna,Sonic Wings+,5872,1,0,0,['Magic'],GL
yuna,Sonic Wings++,18726,5,0,10,['Magic'],GL
yuna,Energy Ray,4186,1,1,0,"['Group', 'Magic']",GL
yuna,Energy Ray+,5873,1,1,0,"['Group', 'Magic']",GL
yuna,Energy Ray++,18727,5,5,10,"['Group', 'Magic']",GL
yuna,Esuna,18722,0,0,0,[],GL
yuna,Cheer,13428,0,0,0,['Heals'],GL
yuna,Base Attack Up,16815,0,0,0,"['Instant', 'NoSummon', 'NoEX']",GL
yuna,Grand Summon,18723,5,2,10,"['Group', 'Magic']",GL
yuna,Energy Blast,18724,5,2,10,"['Group', 'Magic']",GL
yuna,Energy Nova,18725,4,4,15,"['Group', 'Magic', 'NoFree']",GL
yuna,The Sending,16814,7,7,400,"['Group', 'Magic']",GL
yuna,Banishing Stroke,18731,3,3,250,"['Group', 'Magic', 'NoFree']",GL
yuna,Enhanced Esuna (C),13436,0,0,0,"['Instant', 'NoEX', 'NoFree']",GL
yuna,Enhanced Energy Nova (C),13438,3,3,0,"['Group', 'Magic', 'Instant', 'NoEX', 'NoFree']",GL
